mouse,conc,treatment,analyte,time,fold change
44,160.8100038,trt2,Corticosterone,9,1.319947937
45,907.4293707,trt2,Corticosterone,9,7.448289892
6,235.5305223,trt1,Corticosterone,2,0.938989759
7,273.8619168,trt1,Corticosterone,2,1.091805566
8,672.0028799,trt1,Corticosterone,2,2.679074524
9,395.5518546,trt1,Corticosterone,2,1.576946957
10,273.8619168,trt1,Corticosterone,2,1.091805566
21,128.9668683,trt1,Corticosterone,2,0.514152337
22,1261.441879,trt1,Corticosterone,2,5.028991546
23,195.3599473,trt1,Corticosterone,2,0.778841689
24,182.7736601,trt1,Corticosterone,2,0.728663926
25,395.5518546,trt1,Corticosterone,2,1.576946957
37,151.1328139,trt1,Corticosterone,2,0.602521334
38,136.7306556,trt1,Corticosterone,2,0.545104235
40,449.4461594,trt1,Corticosterone,2,1.791807434
6,273.8619168,trt1,Corticosterone,4,1.787280112
7,296.4894248,trt1,Corticosterone,4,1.934951959
8,449.4461594,trt1,Corticosterone,4,2.93317958
9,408.0775922,trt1,Corticosterone,4,2.663199664
10,260.1448858,trt1,Corticosterone,4,1.697759901
37,52.40641444,trt1,Corticosterone,4,0.342015215
38,134.0747713,trt1,Corticosterone,4,0.874999982
40,34.90021732,trt1,Corticosterone,4,0.227766113
6,109.9223781,trt1,Corticosterone,6,1.88434494
7,100.4190509,trt1,Corticosterone,6,1.721434104
8,98.64736508,trt1,Corticosterone,6,1.691062971
9,105.9866215,trt1,Corticosterone,6,1.816876212
10,72.5857901,trt1,Corticosterone,6,1.244302286
21,17.58909106,trt1,Corticosterone,6,0.301521085
22,197.5748589,trt1,Corticosterone,6,3.38692805
23,14.44851485,trt1,Corticosterone,6,0.247683741
24,90.36519253,trt1,Corticosterone,6,1.549085785
25,42.03566863,trt1,Corticosterone,6,0.720596669
37,96.91564828,trt1,Corticosterone,6,1.661377006
38,55.32916594,trt1,Corticosterone,6,0.948480516
40,169.4725325,trt1,Corticosterone,6,2.905183773
6,98.64736508,trt1,Corticosterone,8,1.749833926
7,90.36519253,trt1,Corticosterone,8,1.602922485
8,120.6347937,trt1,Corticosterone,8,2.139852944
9,102.2319504,trt1,Corticosterone,8,1.81341828
10,43.97622407,trt1,Corticosterone,8,0.780062283
21,44.64505334,trt1,Corticosterone,8,0.791926159
22,159.1132536,trt1,Corticosterone,8,2.822394384
23,42.03566863,trt1,Corticosterone,8,0.74564018
24,95.22270317,trt1,Corticosterone,8,1.689086337
25,49.66033426,trt1,Corticosterone,8,0.880888583
37,102.2319504,trt1,Corticosterone,8,1.81341828
38,122.9405884,trt1,Corticosterone,8,2.180753761
40,88.81623715,trt1,Corticosterone,8,1.575446691
6,164.8951918,trt1,Corticosterone,9,1.353479654
7,258.0645717,trt1,Corticosterone,9,2.118225179
8,2.68816467,trt1,Corticosterone,9,0.02206478
9,382.15519,trt1,Corticosterone,9,3.136775964
10,615.8199558,trt1,Corticosterone,9,5.054724588
21,102.321673,trt1,Corticosterone,9,0.839868652
22,247.0357121,trt1,Corticosterone,9,2.027698967
23,641.2124996,trt1,Corticosterone,9,5.263149655
24,329.681824,trt1,Corticosterone,9,2.706068237
25,558.0804469,trt1,Corticosterone,9,4.580791724
37,480.1188434,trt1,Corticosterone,9,3.940873465
38,300.0043049,trt1,Corticosterone,9,2.462471575
40,711.3127398,trt1,Corticosterone,9,5.838540895
1,191.0334275,control,Corticosterone,2,0.761593148
2,596.9129706,control,Corticosterone,2,2.379713511
3,730.5057602,control,Corticosterone,2,2.912308013
4,321.956408,control,Corticosterone,2,1.28354392
5,266.8758871,control,Corticosterone,2,1.063954354
16,139.4577829,control,Corticosterone,2,0.555976476
17,241.3598806,control,Corticosterone,2,0.962229667
18,288.653807,control,Corticosterone,2,1.150776408
19,340.7611362,control,Corticosterone,2,1.358512748
20,113.0001676,control,Corticosterone,2,0.450497876
31,106.9531347,control,Corticosterone,2,0.426390164
32,13.90409629,control,Corticosterone,2,0.055431474
33,134.0747713,control,Corticosterone,2,0.534516019
34,148.0933459,control,Corticosterone,2,0.590403884
35,128.9668683,control,Corticosterone,2,0.514152337
1,110.9359874,control,Corticosterone,4,0.723991442
2,464.6485945,control,Corticosterone,4,3.03239385
3,434.9819443,control,Corticosterone,4,2.838783089
4,175.0029678,control,Corticosterone,4,1.142105947
5,164.180549,control,Corticosterone,4,1.07147658
31,110.9359874,control,Corticosterone,4,0.723991442
32,39.29947268,control,Corticosterone,4,0.256476573
33,12.66780019,control,Corticosterone,4,0.082672712
34,11.89550205,control,Corticosterone,4,0.077632533
35,7.734326601,control,Corticosterone,4,0.050475832
1,57.98638845,control,Corticosterone,6,0.994031967
2,135.3939666,control,Corticosterone,6,2.320991779
3,37.86379601,control,Corticosterone,6,0.649080321
4,85.81764745,control,Corticosterone,6,1.471129469
5,140.8488736,control,Corticosterone,6,2.414502551
16,44.64505334,control,Corticosterone,6,0.76532806
17,7.402028608,control,Corticosterone,6,0.126889314
